1,250,2099
2,250,9039
3,250,15762
4,250,20621
5,250,30926
6,250,35981
7,250,38508
8,250,50306
1,500,8981
2,500,16152
3,500,34210
4,500,33307
5,500,63953
6,500,83619
7,500,87027
8,500,116250
1,750,20107
2,750,28131
3,750,53387
4,750,50346
5,750,100333
6,750,107395
7,750,140434
8,750,170857
1,1000,35916
2,1000,46721
3,1000,82882
4,1000,78674
5,1000,144864
6,1000,146838
7,1000,195367
8,1000,229297
1,1250,55910
2,1250,63885
3,1250,103145
4,1250,102667
5,1250,185445
6,1250,179477
7,1250,248272
8,1250,271308
1,1500,81430
2,1500,82850
3,1500,137347
4,1500,136921
5,1500,228424
6,1500,229712
7,1500,313200
8,1500,341150
1,1750,110181
2,1750,102899
3,1750,157811
4,1750,167504
5,1750,267673
6,1750,270827
7,1750,376493
8,1750,396332
1,2000,146048
2,2000,126729
3,2000,194131
4,2000,202249
5,2000,318419
6,2000,322468
7,2000,440122
8,2000,466762
1,2250,180393
2,2250,149386
3,2250,229544
4,2250,228568
5,2250,363697
6,2250,378150
7,2250,489000
8,2250,519809
1,2500,220908
2,2500,175942
3,2500,261627
4,2500,273840
5,2500,416421
6,2500,411776
7,2500,555877
8,2500,581044
1,2750,270623
2,2750,205084
3,2750,304687
4,2750,306121
5,2750,466445
6,2750,473672
7,2750,628863
8,2750,660030
1,3000,325982
2,3000,236517
3,3000,355374
4,3000,355939
5,3000,522812
6,3000,543497
7,3000,703916
8,3000,750755
1,3250,385886
2,3250,267380
3,3250,400366
4,3250,398441
5,3250,580974
6,3250,599701
7,3250,785487
8,3250,821436
1,3500,445753
2,3500,301754
3,3500,449650
4,3500,444843
5,3500,646989
6,3500,663845
7,3500,870617
8,3500,899017
1,3750,512158
2,3750,339002
3,3750,510413
4,3750,484254
5,3750,714324
6,3750,727453
7,3750,934938
8,3750,978295
1,4000,583968
2,4000,378532
3,4000,559270
4,4000,545281
5,4000,777421
6,4000,794052
7,4000,1022067
8,4000,1080366
1,4250,659824
2,4250,417212
3,4250,619079
4,4250,590575
5,4250,850496
6,4250,857838
7,4250,1133901
8,4250,1159926
1,4500,737040
2,4500,463231
3,4500,686621
4,4500,648880
5,4500,921186
6,4500,934840
7,4500,1182863
8,4500,1239960
1,4750,820583
2,4750,507456
3,4750,741750
4,4750,694657
5,4750,995498
6,4750,1002537
7,4750,1270147
8,4750,1334061
